ticker,quarter,year,priceToEarning,priceToBook,roe,roa,earningPerShare,bookValuePerShare,equityOnTotalAsset,equityOnLiability,epsChange,bookValuePerShareChange
CMV,4,2021,8.3,0.9,0.127,0.051,1516,13392.0,0.514,1.1,0.102,0.034
CMV,3,2021,10.0,1.1,0.119,0.049,1375,12946.0,0.55,1.3,-0.069,0.018
CMV,2,2021,10.2,1.2,0.131,0.047,1478,12711.0,0.435,0.8,0.051,-0.036
CMV,1,2021,11.1,1.2,0.124,0.042,1406,13185.0,0.385,0.7,0.442,0.261
CMV,4,2020,10.7,1.0,0.097,0.026,975,10457.0,0.313,0.5,0.003,0.03
CMV,3,2020,10.0,1.0,0.097,0.029,972,10156.0,0.316,0.5,0.195,0.034
CMV,2,2020,12.3,1.0,0.083,0.023,813,9819.0,0.288,0.4,0.041,0.025
CMV,1,2020,17.3,1.4,0.081,0.023,781,9579.0,0.298,0.5,-0.155,-0.004
CMV,4,2019,14.3,1.4,0.097,0.023,925,9616.0,0.238,0.3,0.053,-0.035
CMV,3,2019,8.5,0.7,0.088,0.024,878,9967.0,0.28,0.4,-0.093,0.018
CMV,2,2019,12.5,1.2,0.1,0.028,968,9789.0,0.269,0.4,0.03,0.019
CMV,1,2019,9.8,1.0,0.098,0.027,939,9603.0,0.269,0.4,-0.171,0.014
CMV,4,2018,10.8,1.3,0.122,0.03,1133,9471.0,0.242,0.3,-0.031,-0.043
CMV,3,2018,6.6,0.8,0.12,0.033,1170,9895.0,0.267,0.4,0.034,0.028
CMV,2,2018,12.5,1.5,0.119,0.035,1131,9627.0,0.289,0.4,-0.026,0.014
CMV,1,2018,12.7,1.6,0.122,0.035,1161,9493.0,0.279,0.4,-0.047,0.035
CMV,4,2017,11.9,1.6,0.133,0.033,1217,9170.0,0.249,0.4,-0.084,-0.041
CMV,3,2017,9.6,1.3,0.14,0.04,1329,9563.0,0.284,0.4,-0.084,0.026
CMV,2,2017,8.2,1.3,0.155,0.045,1451,9318.0,0.298,0.5,0.011,-0.019
CMV,1,2017,8.4,1.3,0.153,0.044,1435,9498.0,0.297,0.4,-0.027,0.034
